,Rank,Player,Position,High School,Commitment,Rating,team_name,year
0,--,Stevie Pileggi,M,Chestnut Hill Academy,Saint Joseph's,0,Ascension 2024,2024
1,--,Logan Missett,D,La Salle College High School,Cornell,3,Ascension 2024,2024
2,--,Ryan Traynor,M,Malvern Preparatory School,Christopher Newport,3,Ascension 2024,2024
3,#30 Class of 2024 Rankings,Ross Prince,FO,Chestnut Hill Academy,Georgetown,4,Ascension 2024,2024
4,--,Jack Long,M,The Haverford School,Michigan,3,Ascension 2024,2024
5,--,John Majka,M,Malvern Preparatory School,Army,3,Ascension 2024,2024
